City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Anloga,GH,2021-04-09 20:42:01,5.7947,0.8973,82.4,78,20,4.61
233,Asaba,NG,2021-04-09 20:42:01,6.2006,6.7338,83.01,68,99,6.8
234,Okhotsk,RU,2021-04-09 20:42:02,59.3833,143.3,10.56,81,78,5.3
235,Isangel,VU,2021-04-09 20:40:47,-19.55,169.2667,79.48,79,86,2.28
236,Razole,IN,2021-04-09 20:42:02,16.4833,81.8333,76.73,79,98,3.42
237,Ndele,CF,2021-04-09 20:42:02,8.4109,20.6473,85.53,36,95,2.95
238,Mount Gambier,AU,2021-04-09 20:42:02,-37.8333,140.7667,53.6,94,75,8.05
239,Skibbereen,IE,2021-04-09 20:42:03,51.55,-9.2667,39.2,93,75,9.22
240,Port Hardy,CA,2021-04-09 20:42:03,50.6996,-127.4199,42.8,87,75,11.5
241,Aykhal,RU,2021-04-09 20:42:03,66.0,111.5,-13.02,99,98,12.95
242,Nemuro,JP,2021-04-09 20:38:50,43.3236,145.575,31.32,67,39,12.86
243,Oistins,BB,2021-04-09 20:42:03,13.0667,-59.5333,84.2,58,20,16.11
244,Mangrol,IN,2021-04-09 20:39:12,21.1167,70.1167,79.02,67,0,9.86
245,Makakilo City,US,2021-04-09 20:42:04,21.3469,-158.0858,78.8,47,20,9.22
246,Bauchi,NG,2021-04-09 20:42:04,10.5,10.0,83.57,23,84,5.03
247,Ranong,TH,2021-04-09 20:42:04,9.9658,98.6348,77.2,86,6,1.95
248,Ucluelet,CA,2021-04-09 20:42:04,48.9329,-125.5528,46.0,93,90,6.91
249,Lokosovo,RU,2021-04-09 20:42:05,61.1333,74.8167,29.21,94,7,5.37
250,Peniche,PT,2021-04-09 20:42:05,39.3558,-9.3811,60.01,88,99,1.99
251,Roros,NO,2021-04-09 20:42:05,62.5747,11.3842,17.6,79,20,2.3
252,Grand Gaube,MU,2021-04-09 20:42:05,-20.0064,57.6608,77.0,82,100,5.01
253,Poum,NC,2021-04-09 20:42:06,-20.2333,164.0167,78.42,87,100,17.6
254,Luba,GQ,2021-04-09 20:42:06,3.4568,8.5547,78.8,83,20,3.44
255,Buzoesti,RO,2021-04-09 20:42:06,44.5833,24.9167,38.93,54,1,4.92
256,Dyurtyuli,RU,2021-04-09 20:42:06,55.4911,54.8688,36.19,99,100,4.18
257,Mindelo,CV,2021-04-09 20:42:07,16.8901,-24.9804,71.6,73,20,28.77
258,Komsomolskiy,UZ,2021-04-09 20:42:07,40.4272,71.7189,55.4,38,4,6.91
259,Constantine,DZ,2021-04-09 20:40:41,36.365,6.6147,66.2,39,0,13.8
260,Ahipara,NZ,2021-04-09 20:42:07,-35.1667,173.1667,66.45,94,100,19.15
261,Waipawa,NZ,2021-04-09 20:39:48,-41.4122,175.5153,63.0,77,75,14.97
262,Vallenar,CL,2021-04-09 20:39:00,-28.5708,-70.7581,78.13,31,4,8.25
263,Caravelas,BR,2021-04-09 20:41:37,-17.7125,-39.2481,75.52,78,45,11.36
264,Olonets,RU,2021-04-09 20:42:08,60.9847,32.9698,36.77,90,100,18.52
265,Lisakovsk,KZ,2021-04-09 20:42:08,52.5369,62.4936,33.73,98,100,5.59
266,Hambantota,LK,2021-04-09 20:42:08,6.1241,81.1185,78.49,80,2,5.26
267,Ilulissat,GL,2021-04-09 20:42:08,69.2167,-51.1,32.0,93,75,6.91
268,Orangeburg,US,2021-04-09 20:41:58,33.4918,-80.8557,77.0,61,40,10.36
269,Lorengau,PG,2021-04-09 20:42:08,-2.0226,147.2712,80.15,83,100,12.95
270,Sirjan,IR,2021-04-09 20:39:43,29.452,55.6814,62.42,15,35,6.62
271,Santa Maria Del Oro,MX,2021-04-09 20:42:09,25.9333,-105.3667,90.45,4,1,12.73
272,Ketchikan,US,2021-04-09 20:42:09,55.3422,-131.6461,33.8,100,90,8.05
273,Greeneville,US,2021-04-09 20:41:22,36.1632,-82.831,79.0,27,1,5.75
274,San Rafael,AR,2021-04-09 20:42:09,-34.6177,-68.3301,57.02,42,100,7.18
275,Svetlyy,RU,2021-04-09 20:42:09,54.675,20.1347,48.2,49,0,11.18
276,Comodoro Rivadavia,AR,2021-04-09 20:42:10,-45.8667,-67.5,59.0,72,20,6.91
277,Srednekolymsk,RU,2021-04-09 20:42:10,67.45,153.6833,-0.71,95,100,5.28
278,Vaitape,PF,2021-04-09 20:42:10,-16.5167,-151.75,81.82,70,98,8.5
279,Belaya Gora,RU,2021-04-09 20:42:10,68.5333,146.4167,-1.8,96,98,8.43
280,Taltal,CL,2021-04-09 20:42:00,-25.4,-70.4833,67.26,75,100,5.7
281,Gereykhanovskoye,RU,2021-04-09 20:42:11,41.7011,48.2811,52.65,84,65,2.8
282,Hovd,MN,2021-04-09 20:42:11,48.0056,91.6419,31.55,79,14,1.68
283,Saint Anthony,US,2021-04-09 20:41:13,45.0205,-93.218,51.8,82,90,13.8
284,Adrar,MR,2021-04-09 20:40:58,20.5022,-10.0711,84.96,13,0,8.79
285,Marsh Harbour,BS,2021-04-09 20:42:11,26.5412,-77.0636,73.63,60,0,13.78
286,Bonthe,SL,2021-04-09 20:42:11,7.5264,-12.505,81.3,82,87,6.02
287,Haines Junction,CA,2021-04-09 20:39:58,60.7522,-137.5108,6.8,43,100,18.41
